CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex
Uzbekistan,UZB,20200404,3,2,227,2,95.24
Uzbekistan,UZB,20200405,3,2,266,2,95.24
Uzbekistan,UZB,20200406,3,2,342,2,95.24
Uzbekistan,UZB,20200407,3,2,397,2,95.24
Uzbekistan,UZB,20200408,3,2,504,2,95.24
Uzbekistan,UZB,20200409,3,2,555,3,95.24
Uzbekistan,UZB,20200410,3,2,582,3,95.24
Uzbekistan,UZB,20200411,3,2,624,3,95.24
Uzbekistan,UZB,20200412,3,2,796,4,95.24
Uzbekistan,UZB,20200413,3,2,865,4,95.24
Uzbekistan,UZB,20200414,3,2,998,4,95.24
Uzbekistan,UZB,20200415,3,2,1165,4,95.24
Uzbekistan,UZB,20200416,3,2,1302,4,95.24
Uzbekistan,UZB,20200417,3,2,1380,4,95.24
Uzbekistan,UZB,20200418,3,2,1450,4,95.24
Uzbekistan,UZB,20200419,3,2,1495,5,95.24
Uzbekistan,UZB,20200420,3,2,1565,5,95.24
Uzbekistan,UZB,20200421,3,2,1657,5,95.24
Uzbekistan,UZB,20200422,3,2,1692,6,95.24
Uzbekistan,UZB,20200423,3,2,1716,7,95.24
Uzbekistan,UZB,20200424,3,2,1778,7,95.24
